ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
ELU-Séisme;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
88;B_1;0;1: G+(Ex+0.3Ey);0;9: G+0.8Q+(Ex+0.3Ey);-3475;14: G+0.8Q-(0.3Ex+Ey);1467;5: G+(0.3Ex+Ey);8848;2: G-(Ex+0.3Ey);10077;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
89;C_1;0;1: G+(Ex+0.3Ey);0;9: G+0.8Q+(Ex+0.3Ey);-34161;10: G+0.8Q-(Ex+0.3Ey);34783;1: G+(Ex+0.3Ey);8809;2: G-(Ex+0.3Ey);10632;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
90;D_1;0;1: G+(Ex+0.3Ey);0;9: G+0.8Q+(Ex+0.3Ey);-367;14: G+0.8Q-(0.3Ex+Ey);371;5: G+(0.3Ex+Ey);9449;2: G-(Ex+0.3Ey);10407;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
91;E_1;0;9: G+0.8Q+(Ex+0.3Ey);0;1: G+(Ex+0.3Ey);-22800;2: G-(Ex+0.3Ey);23121;9: G+0.8Q+(Ex+0.3Ey);8894;14: G+0.8Q-(0.3Ex+Ey);11250;5: G+(0.3Ex+Ey);;;;;;;
92;F_1;0;1: G+(Ex+0.3Ey);0;9: G+0.8Q+(Ex+0.3Ey);-364;14: G+0.8Q-(0.3Ex+Ey);364;5: G+(0.3Ex+Ey);9832;2: G-(Ex+0.3Ey);10382;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
93;G_1;0;1: G+(Ex+0.3Ey);0;9: G+0.8Q+(Ex+0.3Ey);-24972;10: G+0.8Q-(Ex+0.3Ey);24657;1: G+(Ex+0.3Ey);8729;10: G+0.8Q-(Ex+0.3Ey);11398;1: G+(Ex+0.3Ey);;;;;;;
94;H_1;0;9: G+0.8Q+(Ex+0.3Ey);0;1: G+(Ex+0.3Ey);-370;6: G-(0.3Ex+Ey);367;13: G+0.8Q+(0.3Ex+Ey);9453;2: G-(Ex+0.3Ey);10403;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
95;I_1;0;1: G+(Ex+0.3Ey);0;9: G+0.8Q+(Ex+0.3Ey);-31662;2: G-(Ex+0.3Ey);31041;9: G+0.8Q+(Ex+0.3Ey);8917;2: G-(Ex+0.3Ey);10534;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
96;J_1;0;9: G+0.8Q+(Ex+0.3Ey);0;1: G+(Ex+0.3Ey);-1506;6: G-(0.3Ex+Ey);3504;13: G+0.8Q+(0.3Ex+Ey);8828;2: G-(Ex+0.3Ey);10086;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
306;K_1;-14;6: G-(0.3Ex+Ey);28;13: G+0.8Q+(0.3Ex+Ey);-94;14: G+0.8Q-(0.3Ex+Ey);88;5: G+(0.3Ex+Ey);507;14: G+0.8Q-(0.3Ex+Ey);523;5: G+(0.3Ex+Ey);;;;;;;
