ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
1466;K_44;0;252: G+1.5W+0.75S2;0;133: 1.35G+1.5W6+1.5Q;-99;117: 1.35G+1.5W4+1.5Q;102;283: G+1.5W5+0.75S;906;251: G+1.5W+0.75S;1347;133: 1.35G+1.5W6+1.5Q;;;;;;;
1023;A_45;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-79;299: G+1.5W7+0.75S;76;117: 1.35G+1.5W4+1.5Q;845;249: G+1.5W;1206;153: 1.35G+1.5W8+1.5Q+0.75S;;;;;;;
1472;K_45;0;252: G+1.5W+0.75S2;0;139: 1.35G+1.5W6+1.5Q+0.75S3;-96;117: 1.35G+1.5W4+1.5Q;99;283: G+1.5W5+0.75S;839;249: G+1.5W;1224;137: 1.35G+1.5W6+1.5Q+0.75S;;;;;;;
1024;A_46;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-59;299: G+1.5W7+0.75S;55;117: 1.35G+1.5W4+1.5Q;535;257: G+1.5W2;918;55: 1.35G+1.5S+1.5Q+0.9W8;;;;;;;
1480;K_46;0;252: G+1.5W+0.75S2;0;139: 1.35G+1.5W6+1.5Q+0.75S3;-84;117: 1.35G+1.5W4+1.5Q;87;283: G+1.5W5+0.75S;551;257: G+1.5W2;1007;53: 1.35G+1.5S+1.5Q+0.9W6;;;;;;;
1043;A_51;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-59;299: G+1.5W7+0.75S;55;117: 1.35G+1.5W4+1.5Q;543;257: G+1.5W2;919;55: 1.35G+1.5S+1.5Q+0.9W8;;;;;;;
1347;K_51;0;252: G+1.5W+0.75S2;0;139: 1.35G+1.5W6+1.5Q+0.75S3;-84;117: 1.35G+1.5W4+1.5Q;87;283: G+1.5W5+0.75S;561;257: G+1.5W2;1009;53: 1.35G+1.5S+1.5Q+0.9W6;;;;;;;
1044;A_52;0;249: G+1.5W;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-79;299: G+1.5W7+0.75S;76;117: 1.35G+1.5W4+1.5Q;858;289: G+1.5W6;1187;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
1374;K_52;0;252: G+1.5W+0.75S2;0;139: 1.35G+1.5W6+1.5Q+0.75S3;-96;117: 1.35G+1.5W4+1.5Q;99;283: G+1.5W5+0.75S;861;305: G+1.5W8;1206;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
1045;A_53;0;249: G+1.5W;0;153: 1.35G+1.5W8+1.5Q+0.75S;-83;301: G+1.5W7+0.75S3;80;122: 1.35G+1.5W4+1.5Q+0.75S2;925;310: G+1.5W8+1.5Q+0.75S;1329;92: 1.35G+1.5W;;;;;;;
1451;K_53;0;249: G+1.5W;0;137: 1.35G+1.5W6+1.5Q+0.75S;-99;117: 1.35G+1.5W4+1.5Q;102;283: G+1.5W5+0.75S;911;291: G+1.5W6+0.75S;1345;93: 1.35G+1.5W+1.5Q;;;;;;;
1046;A_54;0;249: G+1.5W;0;153: 1.35G+1.5W8+1.5Q+0.75S;-84;297: G+1.5W7;80;105: 1.35G+1.5W2+1.5Q+0.75S;931;310: G+1.5W8+1.5Q+0.75S;1325;92: 1.35G+1.5W;;;;;;;
1485;K_54;0;249: G+1.5W;0;137: 1.35G+1.5W6+1.5Q+0.75S;-99;121: 1.35G+1.5W4+1.5Q+0.75S;102;281: G+1.5W5;920;294: G+1.5W6+1.5Q+0.75S;1339;92: 1.35G+1.5W;;;;;;;
1047;A_55;0;249: G+1.5W;0;153: 1.35G+1.5W8+1.5Q+0.75S;-80;297: G+1.5W7;77;121: 1.35G+1.5W4+1.5Q+0.75S;769;250: G+1.5W+1.5Q;1255;150: 1.35G+1.5W8+0.75S;;;;;;;
1497;K_55;0;249: G+1.5W;0;137: 1.35G+1.5W6+1.5Q+0.75S;-96;121: 1.35G+1.5W4+1.5Q+0.75S;99;281: G+1.5W5;720;250: G+1.5W+1.5Q;1290;134: 1.35G+1.5W6+0.75S;;;;;;;
1048;A_56;0;249: G+1.5W;0;153: 1.35G+1.5W8+1.5Q+0.75S;-61;297: G+1.5W7;57;121: 1.35G+1.5W4+1.5Q+0.75S;-35;250: G+1.5W+1.5Q;1381;150: 1.35G+1.5W8+0.75S;;;;;;;
1342;K_56;0;249: G+1.5W;0;137: 1.35G+1.5W6+1.5Q+0.75S;-84;121: 1.35G+1.5W4+1.5Q+0.75S;87;281: G+1.5W5;-354;250: G+1.5W+1.5Q;1607;134: 1.35G+1.5W6+0.75S;;;;;;;
1622;K_61;0;249: G+1.5W;0;137: 1.35G+1.5W6+1.5Q+0.75S;-84;121: 1.35G+1.5W4+1.5Q+0.75S;87;281: G+1.5W5;-353;250: G+1.5W+1.5Q;1609;134: 1.35G+1.5W6+0.75S;;;;;;;
1625;K_62;0;249: G+1.5W;0;137: 1.35G+1.5W6+1.5Q+0.75S;-96;121: 1.35G+1.5W4+1.5Q+0.75S;99;281: G+1.5W5;725;250: G+1.5W+1.5Q;1297;134: 1.35G+1.5W6+0.75S;;;;;;;
1626;K_63;0;249: G+1.5W;0;137: 1.35G+1.5W6+1.5Q+0.75S;-99;123: 1.35G+1.5W4+1.5Q+0.75S3;102;284: G+1.5W5+0.75S2;932;291: G+1.5W6+0.75S;1349;93: 1.35G+1.5W+1.5Q;;;;;;;
